Time Steps,Real Time,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Chromatine array,Count A,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,4.545454545454546,0,113,83,30,85,,4,0.0,"(1, 4.545454545454546)","['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
1001,4550.000000000009,0,151,105,46,47,,6,0.0,"(0, 4550.000000000009)","['A' 'M' 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A'
 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A'
 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A'
 'M' 'A' 'M' 'A' 'A' 'A' 'U' 'U' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'M' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M'
 'M' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'A'
 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'M' 'M' 'A'
 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'A']"
2001,9095.454545454788,0,70,45,25,128,,1,0.0,"(0, 9095.454545454788)","['A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'M' 'A' 'U' 'U' 'A' 'U'
 'M' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'A' 'U' 'M' 'U' 'U' 'M' 'U' 'U'
 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'M' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'M' 'M' 'U' 'M' 'M' 'M'
 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'U' 'U'
 'U' 'U' 'M' 'U' 'U' 'U' 'M' 'A' 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'A' 'A' 'U'
 'U' 'A' 'U' 'M' 'A' 'U' 'U' 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'A' 'M'
 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U'
 'M' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U'
 'A' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'A']"
3001,13640.909090908837,0,138,31,107,60,,1,0.0,"(0, 13640.909090908837)","['A' 'M' 'A' 'U' 'U' 'M' 'M' 'U' 'M' 'A' 'M' 'M' 'M' 'A' 'M' 'M' 'M' 'M'
 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'U' 'M' 'M' 'U' 'M' 'U' 'A' 'M' 'U' 'M'
 'M' 'M' 'U' 'U' 'U' 'A' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'A' 'U' 'U' 'U' 'U'
 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'U' 'M' 'U' 'U' 'M' 'U' 'M' 'M' 'U' 'U'
 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'M' 'A' 'A' 'M'
 'A' 'M' 'U' 'U' 'M' 'M' 'M' 'U' 'U' 'A' 'M' 'A' 'U' 'U' 'M' 'U' 'U' 'U'
 'A' 'M' 'M' 'M' 'U' 'U' 'A' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'A'
 'M' 'U' 'A' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'A' 'A' 'M'
 'M' 'M' 'U' 'M' 'U' 'M' 'A' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'A' 'M' 'M' 'A'
 'A' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'A' 'U' 'M' 'M' 'A' 'M' 'A']"
4001,18186.363636363607,0,102,3,99,96,,1,"(1, 18186.363636363607)",0,"['U' 'A' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'U' 'M' 'M' 'M' 'U' 'U' 'M' 'M'
 'M' 'U' 'U' 'U' 'U' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'M'
 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'U' 'U' 'U' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'M'
 'M' 'U' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'U' 'U' 'U'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'M' 'A' 'U' 'M' 'U' 'M'
 'M' 'M' 'U' 'U' 'U' 'A' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'U'
 'U' 'U' 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'M'
 'U' 'U' 'U' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'U' 'M'
 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'U']"
5001,22731.818181819475,6,176,1,175,22,,1,"(1, 22731.818181819475)",0,"['U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U']"
6001,27277.272727275344,6,110,12,98,88,,7,0,"(0, 27277.272727275344)","['U' 'U' 'U' 'U' 'U' 'U' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'M'
 'U' 'U' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'M'
 'M' 'M' 'A' 'M' 'M' 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'M'
 'U' 'M' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'M'
 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'M'
 'M' 'U' 'M' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'U' 'M'
 'U' 'U' 'M' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'M' 'U' 'U'
 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'U' 'U'
 'M' 'U' 'M' 'A' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'A' 'M' 'U' 'U' 'M']"
7001,31822.727272731212,6,159,12,147,39,,7,0,"(1, 31822.727272731212)","['U' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U'
 'M' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'A' 'U'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'M' 'M' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'A' 'M' 'U' 'U' 'U' 'A'
 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'U' 'M' 'U' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M']"
8001,36368.18181818708,0,103,5,98,95,,1,0,"(0, 36368.18181818708)","['U' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'U'
 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M'
 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'A' 'U' 'U' 'M' 'M' 'U' 'U' 'U' 'M' 'A' 'U'
 'M' 'U' 'U' 'U' 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'U'
 'U' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'U'
 'U' 'M' 'U' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'M' 'A' 'M' 'M' 'U' 'M'
 'M' 'U' 'U' 'M' 'U' 'A' 'M' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'A' 'M' 'M' 'M' 'M' 'U' 'U'
 'U' 'M' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'M' 'U' 'M' 'U'
 'U' 'U' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'M'
 'M' 'M' 'U' 'U' 'M' 'M' 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'M' 'U' 'U' 'M' 'M']"
9001,40913.636363642945,0,172,5,167,26,,1,0,"(0, 40913.636363642945)","['U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'A'
 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'A' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'M' 'A' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M']"
